S-16D Google 1 0.38996138996138996 S:441.0, I:1.0, D:77.0
S-16D Kaldi 1 0.38803088803088803 S:480.0, I:7.0, D:38.0
S-16D Google 2 0.44871794871794873 S:249.0, I:0.0, D:63.0
S-16D Kaldi 2 0.4198717948717949 S:287.0, I:3.0, D:25.0
S-16D Google 3 0.40039840637450197 S:436.0, I:2.0, D:66.0
S-16D Kaldi 3 0.3705179282868526 S:478.0, I:9.0, D:24.0
S-16D Google 4 0.41204819277108434 S:341.0, I:2.0, D:74.0
S-16D Kaldi 4 0.3542168674698795 S:384.0, I:2.0, D:31.0
S-16D Google 5 0.39144736842105265 S:254.0, I:1.0, D:50.0
S-16D Kaldi 5 0.35855263157894735 S:291.0, I:5.0, D:13.0
S-16D Google 6 0.536 S:88.0, I:0.0, D:37.0
S-16D Kaldi 6 0.544 S:113.0, I:6.0, D:12.0
S-16D Google 7 0.4915254237288136 S:47.0, I:1.0, D:12.0
S-16D Kaldi 7 0.423728813559322 S:58.0, I:1.0, D:1.0
S-16D Google 8 0.4411764705882353 S:113.0, I:0.0, D:23.0
S-16D Kaldi 8 0.39705882352941174 S:127.0, I:1.0, D:9.0
S-16D Google 9 0.5454545454545454 S:20.0, I:0.0, D:13.0
S-16D Kaldi 9 0.5454545454545454 S:31.0, I:0.0, D:2.0
S-16D Google 10 0.5116279069767442 S:37.0, I:0.0, D:6.0
S-16D Kaldi 10 0.46511627906976744 S:41.0, I:1.0, D:2.0
S-16D Google 11 0.35802469135802467 S:67.0, I:0.0, D:14.0
S-16D Kaldi 11 0.345679012345679 S:80.0, I:6.0, D:1.0
S-16D Google 12 0.4489795918367347 S:38.0, I:0.0, D:11.0
S-16D Kaldi 12 0.40816326530612246 S:47.0, I:2.0, D:2.0
S-17A Google 0 0.4721115537848606 S:403.0, I:2.0, D:99.0
S-17A Kaldi 0 0.38247011952191234 S:465.0, I:6.0, D:37.0
S-17A Google 1 0.43300653594771243 S:514.0, I:4.0, D:98.0
S-17A Kaldi 1 0.3431372549019608 S:565.0, I:3.0, D:47.0
S-17A Google 2 0.3547400611620795 S:282.0, I:1.0, D:45.0
S-17A Kaldi 2 0.28440366972477066 S:314.0, I:3.0, D:13.0
S-17A Google 3 0.46178343949044587 S:542.0, I:6.0, D:86.0
S-17A Kaldi 3 0.3535031847133758 S:595.0, I:11.0, D:33.0
S-17A Google 4 0.45331325301204817 S:558.0, I:3.0, D:106.0
S-17A Kaldi 4 0.32981927710843373 S:618.0, I:4.0, D:46.0
S-17A Google 5 0.47093023255813954 S:270.0, I:0.0, D:74.0
S-17A Kaldi 5 0.34593023255813954 S:316.0, I:1.0, D:28.0
S-17A Google 6 0.5311355311355311 S:231.0, I:5.0, D:42.0
S-17A Kaldi 6 0.36996336996337 S:257.0, I:6.0, D:16.0
S-17A Google 7 0.5258126195028681 S:445.0, I:2.0, D:78.0
S-17A Kaldi 7 0.4130019120458891 S:481.0, I:8.0, D:42.0
S-17A Google 8 0.4791666666666667 S:200.0, I:4.0, D:40.0
S-17A Kaldi 8 0.35833333333333334 S:228.0, I:1.0, D:12.0
S-17A Google 9 0.4035532994923858 S:343.0, I:3.0, D:51.0
S-17A Kaldi 9 0.350253807106599 S:370.0, I:5.0, D:24.0
S-17A Google 10 0.36619718309859156 S:500.0, I:6.0, D:68.0
S-17A Kaldi 10 0.2904929577464789 S:527.0, I:6.0, D:41.0
S-17A Google 11 0.38461538461538464 S:81.0, I:0.0, D:10.0
S-17A Kaldi 11 0.3626373626373626 S:84.0, I:1.0, D:7.0
S-18B Google 0 0.5923566878980892 S:222.0, I:0.0, D:92.0
S-18B Kaldi 0 0.46496815286624205 S:283.0, I:3.0, D:31.0
S-18B Google 1 0.5301204819277109 S:184.0, I:1.0, D:65.0
S-18B Kaldi 1 0.42570281124497994 S:223.0, I:6.0, D:26.0
S-18B Google 2 0.5873015873015873 S:142.0, I:1.0, D:47.0
S-18B Kaldi 2 0.5026455026455027 S:176.0, I:4.0, D:13.0
S-18B Google 3 0.556390977443609 S:197.0, I:3.0, D:69.0
S-18B Kaldi 3 0.40225563909774437 S:243.0, I:3.0, D:23.0
S-18B Google 4 0.5284280936454849 S:231.0, I:0.0, D:68.0
S-18B Kaldi 4 0.4782608695652174 S:258.0, I:8.0, D:41.0
S-18B Google 5 0.4864864864864865 S:239.0, I:1.0, D:57.0
S-18B Kaldi 5 0.3918918918918919 S:278.0, I:4.0, D:18.0
S-18B Google 6 0.425 S:102.0, I:1.0, D:18.0
S-18B Kaldi 6 0.35 S:111.0, I:3.0, D:9.0
S-18B Google 7 0.49047619047619045 S:181.0, I:3.0, D:29.0
S-18B Kaldi 7 0.38095238095238093 S:194.0, I:2.0, D:16.0
S-18B Google 8 0.5555555555555556 S:32.0, I:0.0, D:13.0
S-18B Kaldi 8 0.5333333333333333 S:37.0, I:0.0, D:8.0
S-18B Google 9 0.75 S:12.0, I:0.0, D:0.0
S-18B Kaldi 9 0.75 S:12.0, I:2.0, D:0.0
S-18B Google 10 0.4430379746835443 S:60.0, I:0.0, D:19.0
S-18B Kaldi 10 0.4810126582278481 S:75.0, I:4.0, D:4.0
S-18B Google 11 0.5321637426900585 S:139.0, I:0.0, D:32.0
S-18B Kaldi 11 0.4327485380116959 S:156.0, I:5.0, D:15.0
S-19C Google 0 0.6981981981981982 S:159.0, I:0.0, D:63.0
S-19C Kaldi 0 0.6261261261261262 S:192.0, I:12.0, D:30.0
S-19C Google 1 0.7525773195876289 S:43.0, I:0.0, D:54.0
S-19C Kaldi 1 0.6494845360824743 S:78.0, I:0.0, D:19.0
S-19C Google 2 0.6077586206896551 S:177.0, I:1.0, D:55.0
S-19C Kaldi 2 0.5172413793103449 S:208.0, I:5.0, D:24.0
S-19C Google 3 0.7777777777777778 S:85.0, I:1.0, D:41.0
S-19C Kaldi 3 0.6111111111111112 S:105.0, I:2.0, D:21.0
S-19C Google 4 0.6691176470588235 S:201.0, I:1.0, D:71.0
S-19C Kaldi 4 0.5367647058823529 S:234.0, I:1.0, D:38.0
S-19C Google 5 0.6646706586826348 S:113.0, I:2.0, D:54.0
S-19C Kaldi 5 0.6227544910179641 S:140.0, I:4.0, D:27.0
S-19C Google 6 0.59 S:76.0, I:0.0, D:24.0
S-19C Kaldi 6 0.51 S:92.0, I:1.0, D:8.0
S-19C Google 7 0.5294117647058824 S:56.0, I:1.0, D:12.0
S-19C Kaldi 7 0.5147058823529411 S:63.0, I:3.0, D:5.0
S-19C Google 8 0.5 S:58.0, I:0.0, D:14.0
S-19C Kaldi 8 0.4305555555555556 S:66.0, I:0.0, D:6.0
S-19C Google 9 0.5903614457831325 S:58.0, I:0.0, D:25.0
S-19C Kaldi 9 0.5301204819277109 S:65.0, I:1.0, D:18.0
S-19C Google 10 0.5714285714285714 S:24.0, I:0.0, D:11.0
S-19C Kaldi 10 0.3142857142857143 S:31.0, I:1.0, D:4.0
S-19C Google 11 0.6923076923076923 S:44.0, I:0.0, D:21.0
S-19C Kaldi 11 0.6615384615384615 S:53.0, I:1.0, D:12.0
S-20D Google 0 0.6197718631178707 S:188.0, I:0.0, D:75.0
S-20D Kaldi 0 0.5057034220532319 S:227.0, I:6.0, D:36.0
S-20D Google 1 0.5401929260450161 S:255.0, I:2.0, D:56.0
S-20D Kaldi 1 0.41479099678456594 S:280.0, I:4.0, D:31.0
S-20D Google 2 0.5822784810126582 S:222.0, I:0.0, D:94.0
S-20D Kaldi 2 0.4430379746835443 S:281.0, I:2.0, D:35.0
S-20D Google 3 0.5301724137931034 S:183.0, I:1.0, D:49.0
S-20D Kaldi 3 0.5043103448275862 S:199.0, I:0.0, D:33.0
S-20D Google 4 0.5074424898511503 S:623.0, I:3.0, D:116.0
S-20D Kaldi 4 0.4465493910690122 S:688.0, I:17.0, D:51.0
S-20D Google 5 0.5545023696682464 S:326.0, I:3.0, D:96.0
S-20D Kaldi 5 0.45260663507109006 S:386.0, I:7.0, D:36.0
S-20D Google 6 0.8421052631578947 S:13.0, I:0.0, D:25.0
S-20D Kaldi 6 0.8421052631578947 S:32.0, I:0.0, D:6.0
